song_name,streams
Cruel Summer,19152617022119087912794062351240
Blank Space,17597989231407852714818230602045273329
I Don’t Wanna Live Forever,1608346000
Anti-Hero,14678500881935720527613700246136951505958768229853100607
Shake It Off,135317554794777369413587267086
Lover,1306809937279236553229117529959583
cardigan,12104616493912923021871680
Style,1164091500170054692542975310508
Look What You Made Me Do,1104770404520008
Don’t Blame Me,1041098168
august,101245137119677269
Delicate,94279966741832656377714777143788453087
Wildest Dreams,93293254267964731410394607333645254941
You Need To Calm Down,893026808156190176969999
Love Story,860690227695026542345599209530457402032421213241327666335599293888
ME!,8376797436848382
I Knew You Were Trouble,806415494367569255380
willow,7995002953452800214259652134044208118696
All Too Well,7956243102453775092439245594642905912551252470559241406
Enchanted,7778599352444525647624636262747
exile,72093912743949132
Karma,71793843584592592
The Man,71353412320541331
...Ready For It?,68085203424639589544134
Lavender Haze,67448034123108925230627831180565329680702079161
We Are Never Ever Getting Back Together,652746320306274054370161175520
Getaway Car,627177079365808
You Belong With Me,622365953601688687315046264822
Midnight Rain,620399994
Paper Rings,614343463
Bad Blood,5818878641782551157115463353884335257148246641
champagne problems,577432876
Gorgeous,571347510291345
"You're On Your Own, Kid",544519681
the 1,54307045216861128
Bejeweled,499344793
End Game,479382033308592
my tears ricochet,44683824920554272
Maroon,434637988
I Did Something Bad,421276316375476
Snow On The Beach,413653538166754756
mirrorball,39427392515735018
The Way I Loved You,39071110769179207240563
Back To December,38345136117363117575215142183815169668
Call It What You Want,383274188332477
22,380103888257920546347750
illicit affairs,37816141914590809
The Archer,37281755110405371
Vigilante Shit,372589721
this is me trying,36796485818573861
Afterglow,361507562
Daylight,35969746423806891
Mr. Perfectly Fine,353267557
Is It Over Now?,349343631
Miss Americana & The Heartbreak Prince,346656012
invisible string,34448413211922649
the last great american dynasty,34381782912829367
All Of The Girls You Loved Before,336129432
betty,333086651118514909501656
I Forgot That You Existed,325960172
Our Song,3226996795622755
I Knew You Were Trouble,322137372
Mastermind,321639518
Out Of The Woods,319808803111619113314362285705
Cornelia Street,31314213766005318
London Boy,312756222
right where you left me,307480497
Dress,305344245249497
seven,29321107412465978
tolerate it,289434919
Question...?,285997276
gold rush,274744895
Death By A Thousand Cuts,27434888537249202
New Romantics,27374405499725823
Red,27056608725034781817483485331083194447
Everything Has Changed,270538185141106903279044
Fearless,2675084501169316341153158263991252469
The Great War,264277805
"no body, no crime",262571325
I Think He Knows,262320876
Sweet Nothing,260449755
Labyrinth,258773098
King Of My Heart,255946916267797
‘tis the damn season,255688098
"Would've, Could've, Should've",252787530
Welcome To New York,24373796096322095318935
Dancing With Our Hands Tied,238766949284670
This Love,233318675106799689230608189310
Safe & Sound,23007007550168004
Now That We Don't Talk,229712074
I Can See You,227269940
Mean,225839638882013006813873
"""Slut!""",224598142
* Highway Don't Care,223229607
False God,221529640
Mine,219663430155045081515977866803604199066
All You Had To Do Was Stay,21745373383405736259613224598
This Is Why We Can't Have Nice Things,211536298255591
Teardrops On My Guitar,20801859413337894733870182417
ivy,207608180
Nothing New,206152137
evermore,204258873
mad woman,2035837649897861
I Bet You Think About Me,203159786
marjorie,200018966
peace,1988473419997905
Clean,19286001481681961225438215204
Better Than Revenge,1890772691128354286383716
long story short,187105551
New Year’s Day,185904817
Picture To Burn,185162736705087168239
Message In A Bottle,18238891119625474
Sparks Fly,1791383861072906448810081
Christmas Tree Farm,17809328094211461958436
happiness,177698645
hoax,17734374111218180
cowboy like me,176981814
epiphany,1762962769233664
You’re Losing Me,175949133
* The Joker And The Queen,175110202
Paris,173137408
So It Goes...,173045130224238
Bigger Than The Whole Sky,172477841
coney island,171492967
Hits Different,171160875
How You Get The Girl,16731427361586997248109176906
dorothea,165239072
The Very First Night,163666262
Say Don't Go,153755084
The Story Of Us,15063403386001725453663096880315
I Wish You Would,150550475732534784536775253059177378
Wonderland,14737162262355823
High Infidelity,145606424
the lakes,1448632634038378514124314
Speak Now,142229018924672555916832
You Are In Love,14073731863938492
Dear John,139935041961200596435335
Soon You’ll Get Better,138966814
Better Man,136681645
Run,133922957
* Two Is Better Than One,132697966
I Know Places,132611810632134155938795226433178463
It’s Nice To Have A Friend,126686662
Begin Again,12544661996458734280491
Tim McGraw,125382758183927
Last Kiss,121366068694463645888037
Dear Reader,120652347
State Of Grace,117908190606412385020205623714111358939
Only The Young,117233747
closure,117184913
Should've Said No,116628679737547
Glitch,116046674
Babe,115703862
* Renegade,11567134011515637
Fifteen,11415830595517755254081176919
Long Live,112995237989507056132566180252
* Babe,110968819
White Horse,10906349592261465290305
You All Over Me,107807113
Crazier,107474251
The Last Time,10621019566076527293948
Come Back...Be Here,10578713442066547
Treacherous,1052664575482909716501717342619
Forever & Always,105168238531100734940195426986874231947
it’s time to go,103054406
Haunted,10165615369478200238555345783788
Suburban Legends,93644453
Sad Beautiful Tragic,9154357539450312280059
Forever Winter,88758047
I Almost Do,8783862661671260364293
Stay Stay Stay,8495523256941842354062
Hey Stephen,8478485248671016486864
Never Grow Up,8435673150964965
Foolish One,82506448
Holy Ground,8234002653937293281169
Electric Touch,77182872
Timeless,75488567
Castles Crumbling,75070538
That’s When,75046723
The Lucky One,7360491743544971269777
* Both of Us,73568771
When Emma Falls in Love,73497408
Ours,71015109487966796432285
You’re Not Sorry,68715305
The Other Side Of The Door,6792057014821658
The Moment I Knew,6771824231793975
Breathe,6769852763426461357172
Don’t You,67443256
Starlight,6738021043216092283012
Carolina,661071019175400
September,64502140
If This Was A Movie,6170020643321528
We Were Happy,56864055
Girl At Home,5588713422873871
Tell Me Why,5453977931051805286014
Untouchable,5397536822445990704205
Jump Then Fall,5322103925210969
Bye Bye Baby,52977915
* Gasoline,51597878
Innocent,5150257942779380
Today Was A Fairytale,5077881631109626
The Best Day,4955126039287344227706
Eyes Open,4953995334133960
I'm Only Me When I'm With You,49052754
* The Alcott,48164433
You're Not Sorry,457572672045674250164
Mary's Song,43503440
Change,4248835726695685517170226771
Ronan,417846066601896
Cold As You,41302944
A Place in this World,39918551
Come In With The Rain,3874149016587002
Superman,3621765225421335
Superstar,34817103
Invisible,33725520
Stay Beautiful,33661279
Tied Together with a Smile,32140483
Teardrops on My Guitar,32134928
Last Christmas,30195754
The Outside,28827412
A Perfectly Good Heart,24721641
Sweeter Than Fiction,17357304
Beautiful Ghosts,16841176
SuperStar,13673551
* Birch,12219100
* Should've Said No,11748582
Back To December/Apologize/You're Not Sorry,11747313
Drops Of Jupiter,11644573
Santa Baby,11578539
Bette Davis Eyes,8102635
Christmases When You Were Mine,7299207
Christmas Must Be Something More,6637074
I Want You Back,6575533
White Christmas,5968808
Silent Night,5591778
* Big Star,4781337
Macavity,3345548
Beautiful Eyes,1697553
Don't Blame Me,580437
New Year's Day,275433
Welcome to New York,272754
