song_name,streams
Cruel Summer,"1,915,261,702"
Blank Space,"1,759,798,923"
I Don’t Wanna Live Forever (Fifty Shades Darker),"1,608,346,000"
Anti-Hero,"1,467,850,088"
Shake It Off,"1,353,175,547"
Lover,"1,306,809,937"
cardigan,"1,210,461,649"
Style,"1,164,091,500"
Look What You Made Me Do,"1,104,770,404"
Don’t Blame Me,"1,041,098,168"
august,"1,012,451,371"
Delicate,"942,799,667"
Wildest Dreams,"932,932,542"
You Need To Calm Down,"893,026,808"
Love Story,"860,690,227"
ME! (feat. Brendon Urie of Panic! At The Disco),"837,679,743"
I Knew You Were Trouble.,"806,415,494"
willow,"799,500,295"
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),"795,624,310"
Enchanted,"777,859,935"
exile (feat. Bon Iver),"720,939,127"
Karma,"717,938,435"
The Man,"713,534,123"
Love Story (Taylor’s Version),"695,026,542"
...Ready For It?,"680,852,034"
Wildest Dreams (Taylor's Version),"679,647,314"
Lavender Haze,"674,480,341"
We Are Never Ever Getting Back Together,"652,746,320"
Getaway Car,"627,177,079"
You Belong With Me,"622,365,953"
Midnight Rain,"620,399,994"
Paper Rings,"614,343,463"
You Belong With Me (Taylor’s Version),"601,688,687"
Bad Blood,"581,887,864"
champagne problems,"577,432,876"
Gorgeous,"571,347,510"
"You're On Your Own, Kid","544,519,681"
the 1,"543,070,452"
Bejeweled,"499,344,793"
End Game,"479,382,033"
my tears ricochet,"446,838,249"
Maroon,"434,637,988"
I Did Something Bad,"421,276,316"
Snow On The Beach (feat. Lana Del Rey),"413,653,538"
mirrorball,"394,273,925"
The Way I Loved You (Taylor’s Version),"390,711,107"
Back To December,"383,451,361"
Call It What You Want,"383,274,188"
22,"380,103,888"
illicit affairs,"378,161,419"
The Archer,"372,817,551"
Vigilante Shit,"372,589,721"
this is me trying,"367,964,858"
Afterglow,"361,507,562"
Daylight,"359,697,464"
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),"353,267,557"
Is It Over Now? (Taylor's Version) (From The Vault),"349,343,631"
Miss Americana & The Heartbreak Prince,"346,656,012"
invisible string,"344,484,132"
the last great american dynasty,"343,817,829"
All Of The Girls You Loved Before,"336,129,432"
betty,"333,086,651"
I Forgot That You Existed,"325,960,172"
Our Song,"322,699,679"
I Knew You Were Trouble (Taylor's Version),"322,137,372"
Mastermind,"321,639,518"
Out Of The Woods,"319,808,803"
Cornelia Street,"313,142,137"
London Boy,"312,756,222"
right where you left me - bonus track,"307,480,497"
We Are Never Ever Getting Back Together (Taylor's Version),"306,274,054"
Dress,"305,344,245"
seven,"293,211,074"
tolerate it,"289,434,919"
Question...?,"285,997,276"
Lover (Remix) [feat. Shawn Mendes],"279,236,553"
gold rush,"274,744,895"
Death By A Thousand Cuts,"274,348,885"
New Romantics,"273,744,054"
Red (Taylor's Version),"270,566,087"
Everything Has Changed,"270,538,185"
Fearless (Taylor’s Version),"267,508,450"
The Great War,"264,277,805"
"no body, no crime (feat. HAIM)","262,571,325"
I Think He Knows,"262,320,876"
Sweet Nothing,"260,449,755"
Labyrinth,"258,773,098"
22 (Taylor's Version),"257,920,546"
King Of My Heart,"255,946,916"
‘tis the damn season,"255,688,098"
"Would've, Could've, Should've","252,787,530"
Red,"250,347,818"
All Too Well (Taylor's Version),"245,377,509"
Enchanted (Taylor's Version),"244,452,564"
All Too Well,"243,924,559"
Welcome To New York,"243,737,960"
Dancing With Our Hands Tied,"238,766,949"
This Love (Taylor’s Version),"233,318,675"
Safe & Sound - from The Hunger Games Soundtrack,"230,070,075"
Now That We Don't Talk (Taylor's Version) (From The Vault),"229,712,074"
I Can See You (Taylor’s Version) (From The Vault),"227,269,940"
Mean,"225,839,638"
"""Slut!"" (Taylor's Version) (From The Vault)","224,598,142"
* Highway Don't Care,"223,229,607"
False God,"221,529,640"
Mine,"219,663,430"
All You Had To Do Was Stay,"217,453,733"
This Is Why We Can't Have Nice Things,"211,536,298"
Teardrops On My Guitar - Radio Single Remix,"208,018,594"
ivy,"207,608,180"
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),"206,152,137"
evermore (feat. Bon Iver),"204,258,873"
mad woman,"203,583,764"
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),"203,159,786"
marjorie,"200,018,966"
peace,"198,847,341"
Clean,"192,860,014"
Better Than Revenge,"189,077,269"
long story short,"187,105,551"
New Year’s Day,"185,904,817"
Picture To Burn,"185,162,736"
Message In A Bottle (Taylor's Version) (From The Vault),"182,388,911"
Sparks Fly,"179,138,386"
Bad Blood,"178,255,115"
Christmas Tree Farm,"178,093,280"
happiness,"177,698,645"
hoax,"177,343,741"
cowboy like me,"176,981,814"
epiphany,"176,296,276"
You’re Losing Me (From The Vault),"175,949,133"
* The Joker And The Queen (feat. Taylor Swift),"175,110,202"
Back To December (Taylor's Version),"173,631,175"
Paris,"173,137,408"
So It Goes...,"173,045,130"
Bigger Than The Whole Sky,"172,477,841"
coney island (feat. The National),"171,492,967"
Hits Different,"171,160,875"
Style (Taylor's Version),"170,054,692"
How You Get The Girl,"167,314,273"
Snow On The Beach (feat. More Lana Del Rey),"166,754,756"
dorothea,"165,239,072"
The Very First Night (Taylor's Version) (From The Vault),"163,666,262"
Mine (Taylor's Version),"155,045,081"
Say Don't Go (Taylor's Version) (From The Vault),"153,755,084"
The Story Of Us,"150,634,033"
I Wish You Would,"150,550,475"
Wonderland,"147,371,622"
High Infidelity,"145,606,424"
the lakes - bonus track,"144,863,263"
Speak Now,"142,229,018"
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),"141,106,903"
Blank Space (Taylor's Version),"140,785,271"
You Are In Love,"140,737,318"
Dear John,"139,935,041"
Soon You’ll Get Better (feat. The Chicks),"138,966,814"
Better Man (Taylor's Version) (From The Vault),"136,681,645"
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),"133,922,957"
* Two Is Better Than One (feat. Taylor Swift),"132,697,966"
I Know Places,"132,611,810"
It’s Nice To Have A Friend,"126,686,662"
Begin Again,"125,446,619"
Tim McGraw,"125,382,758"
Last Kiss,"121,366,068"
Dear Reader,"120,652,347"
State Of Grace (Taylor's Version),"117,908,190"
Only The Young - Featured in Miss Americana,"117,233,747"
closure,"117,184,913"
Fearless,"116,931,634"
Should've Said No,"116,628,679"
Glitch,"116,046,674"
Babe (Taylor's Version) (From The Vault),"115,703,862"
* Renegade,"115,671,340"
Fifteen,"114,158,305"
Long Live (Taylor's Version),"112,995,237"
Better Than Revenge (Taylor's Version),"112,835,428"
Out Of The Woods (Taylor's Version),"111,619,113"
* Babe,"110,968,819"
White Horse,"109,063,495"
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),"107,807,113"
Crazier,"107,474,251"
Sparks Fly (Taylor’s Version),"107,290,644"
This Love,"106,799,689"
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),"106,210,195"
Come Back...Be Here (Taylor's Version),"105,787,134"
Treacherous (Taylor's Version),"105,266,457"
Forever & Always (Taylor’s Version),"105,168,238"
it’s time to go - bonus track,"103,054,406"
Haunted,"101,656,153"
New Romantics (Taylor's Version),"99,725,823"
Long Live,"98,950,705"
Begin Again (Taylor's Version),"96,458,734"
Welcome To New York (Taylor's Version),"96,322,095"
Dear John (Taylor's Version),"96,120,059"
Fifteen (Taylor’s Version),"95,517,755"
Shake It Off (Taylor's Version),"94,777,369"
Suburban Legends (Taylor's Version) (From The Vault),"93,644,453"
Speak Now (Taylor's Version),"92,467,255"
White Horse (Taylor’s Version),"92,261,465"
Sad Beautiful Tragic (Taylor's Version),"91,543,575"
Forever Winter (Taylor's Version) (From The Vault),"88,758,047"
Mean (Taylor's Version),"88,201,300"
I Almost Do (Taylor's Version),"87,838,626"
The Story Of Us (Taylor's Version),"86,001,725"
Stay Stay Stay (Taylor's Version),"84,955,232"
Hey Stephen (Taylor’s Version),"84,784,852"
Karma (feat. Ice Spice),"84,592,592"
Never Grow Up,"84,356,731"
All You Had To Do Was Stay (Taylor's Version),"83,405,736"
Foolish One (Taylor’s Version) (From The Vault),"82,506,448"
Holy Ground (Taylor's Version),"82,340,026"
Clean (Taylor's Version),"81,681,961"
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),"77,182,872"
Timeless (Taylor’s Version) (From The Vault),"75,488,567"
Back To December - Acoustic,"75,215,142"
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),"75,070,538"
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),"75,046,723"
The Lucky One (Taylor's Version),"73,604,917"
* Both of Us (feat. Taylor Swift),"73,568,771"
When Emma Falls in Love (Taylor’s Version) (From The Vault),"73,497,408"
I Wish You Would (Taylor's Version),"73,253,478"
Bad Blood (Taylor's Version),"71,154,633"
Ours,"71,015,109"
Haunted (Taylor's Version),"69,478,200"
Last Kiss (Taylor's Version),"69,446,364"
The Way I Loved You,"69,179,207"
You’re Not Sorry (Taylor’s Version),"68,715,305"
The Other Side Of The Door (Taylor’s Version),"67,920,570"
The Moment I Knew (Taylor's Version),"67,718,242"
Breathe,"67,698,527"
Don’t You (Taylor’s Version) (From The Vault),"67,443,256"
Starlight (Taylor's Version),"67,380,210"
Carolina - From The Motion Picture “Where The Crawdads Sing”,"66,107,101"
The Last Time,"66,076,527"
Cornelia Street - Live From Paris,"66,005,318"
September - Recorded at The Tracking Room Nashville,"64,502,140"
You Are In Love (Taylor's Version),"63,938,492"
Breathe (feat. Colbie Caillat) (Taylor’s Version),"63,426,461"
I Know Places (Taylor's Version),"63,213,415"
Wonderland (Taylor's Version),"62,355,823"
If This Was A Movie (Taylor’s Version),"61,700,206"
I Almost Do,"61,671,260"
How You Get The Girl (Taylor's Version),"61,586,997"
State Of Grace,"60,641,238"
Stay Stay Stay,"56,941,842"
We Were Happy (Taylor’s Version) (From The Vault),"56,864,055"
Girl At Home (Taylor's Version),"55,887,134"
Treacherous,"54,829,097"
Tell Me Why (Taylor’s Version),"54,539,779"
Untouchable (Taylor’s Version),"53,975,368"
Holy Ground,"53,937,293"
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),"53,884,335"
Jump Then Fall (Taylor’s Version),"53,221,039"
Forever & Always,"53,110,073"
Bye Bye Baby (Taylor’s Version) (From The Vault),"52,977,915"
* Gasoline (feat. Taylor Swift),"51,597,878"
Mine - POP Mix,"51,597,786"
Innocent,"51,502,579"
Never Grow Up (Taylor's Version),"50,964,965"
Today Was A Fairytale (Taylor’s Version),"50,778,816"
State Of Grace (Acoustic Version) (Taylor's Version),"50,202,056"
Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),"50,168,004"
The Best Day (Taylor’s Version),"49,551,260"
Eyes Open,"49,539,953"
Forever & Always (Piano Version) (Taylor’s Version),"49,401,954"
I'm Only Me When I'm With You,"49,052,754"
Ours (Taylor’s Version),"48,796,679"
Hey Stephen,"48,671,016"
* The Alcott (feat. Taylor Swift),"48,164,433"
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,"46,429,059"
You're Not Sorry,"45,757,267"
The Story Of Us,"45,366,309"
exile (feat. Bon Iver) - the long pond studio sessions,"43,949,132"
The Lucky One,"43,544,971"
Mary's Song (Oh My My My),"43,503,440"
If This Was A Movie,"43,321,528"
Starlight,"43,216,092"
Innocent (Taylor's Version),"42,779,380"
Change (Taylor’s Version),"42,488,357"
Come Back...Be Here,"42,066,547"
Delicate - Seeb Remix,"41,832,656"
Ronan (Taylor's Version),"41,784,606"
Cold As You,"41,302,944"
the lakes - original version,"40,383,785"
A Place in this World,"39,918,551"
Sad Beautiful Tragic,"39,450,312"
The Best Day,"39,287,344"
cardigan - cabin in candlelight version,"39,129,230"
Come In With The Rain (Taylor’s Version),"38,741,490"
Delicate - Recorded at The Tracking Room Nashville,"37,771,477"
Death By A Thousand Cuts - Live From Paris,"37,249,202"
Superman (Taylor’s Version),"36,217,652"
Superstar (Taylor’s Version),"34,817,103"
Love Story (Taylor's Version) - Elvira Remix,"34,559,920"
willow - dancing witch version (Elvira remix),"34,528,002"
Eyes Open (Taylor's Version),"34,133,960"
Invisible,"33,725,520"
Stay Beautiful,"33,661,279"
Tied Together with a Smile,"32,140,483"
Teardrops on My Guitar - Pop Version,"32,134,928"
The Moment I Knew,"31,793,975"
Today Was A Fairytale - US Version,"31,109,626"
Tell Me Why,"31,051,805"
Last Christmas,"30,195,754"
The Outside,"28,827,412"
Anti-Hero - Acoustic Version,"27,613,700"
Forever & Always - Piano Version,"26,986,874"
Change,"26,695,685"
Superman,"25,421,335"
Jump Then Fall,"25,210,969"
A Perfectly Good Heart,"24,721,641"
...Ready For It? - BloodPop® Remix,"24,639,589"
Anti-Hero - Kungs Remix,"24,613,695"
Haunted - Acoustic Version,"23,855,534"
Daylight - Live From Paris,"23,806,891"
State Of Grace - Acoustic,"23,714,111"
Lavender Haze - Felix Jaehn Remix,"23,108,925"
Lavender Haze - Acoustic Version,"23,062,783"
Lover - First Dance Remix,"22,911,752"
Girl At Home,"22,873,871"
Untouchable,"22,445,990"
cardigan - the long pond studio sessions,"21,871,680"
Cruel Summer - Live from TS | The Eras Tour,"21,190,879"
my tears ricochet - the long pond studio sessions,"20,554,272"
The Man - Live From Paris,"20,541,331"
august - the long pond studio sessions,"19,677,269"
Message In A Bottle (Fat Max G Remix) (Taylor’s Version),"19,625,474"
Anti-Hero (feat. Bleachers),"19,357,205"
this is me trying - the long pond studio sessions,"18,573,861"
Red - Original Demo Recording,"17,483,485"
"Sweeter Than Fiction - From ""One Chance"" Soundtrack","17,357,304"
the 1 - the long pond studio sessions,"16,861,128"
"Beautiful Ghosts - From The Motion Picture Soundtrack ""Cats""","16,841,176"
Come In With The Rain,"16,587,002"
Treacherous - Original Demo Recording,"16,501,717"
mirrorball - the long pond studio sessions,"15,735,018"
You Need To Calm Down - Clean Bandit Remix,"15,619,017"
Anti-Hero - ILLENIUM Remix,"15,059,587"
The Other Side Of The Door,"14,821,658"
illicit affairs - the long pond studio sessions,"14,590,809"
willow - lonely witch version,"14,259,652"
the lakes - the long pond studio sessions,"14,124,314"
SuperStar,"13,673,551"
willow - 90's trend remix,"13,404,420"
Teardrops On My Guitar - International Mix,"13,337,894"
the last great american dynasty - the long pond studio sessions,"12,829,367"
Cruel Summer - LP Giobbi Remix,"12,794,062"
All Too Well (10 Minute Version) (The Short Film),"12,551,252"
seven - the long pond studio sessions,"12,465,978"
* Birch,"12,219,100"
invisible string - the long pond studio sessions,"11,922,649"
betty - the long pond studio sessions,"11,851,490"
Lavender Haze - Snakehips Remix,"11,805,653"
* Should've Said No - The 3D Concert Experience,"11,748,582"
Back To December/Apologize/You're Not Sorry - Live/2011/Medley,"11,747,313"
Drops Of Jupiter - Live/2011,"11,644,573"
Santa Baby,"11,578,539"
* Renegade - Pop Version,"11,515,637"
hoax - the long pond studio sessions,"11,218,180"
The Archer - Live From Paris,"10,405,371"
Wildest Dreams - R3hab Remix,"10,394,607"
peace - the long pond studio sessions,"9,997,905"
Lover - Live From Paris,"9,959,583"
mad woman - the long pond studio sessions,"9,897,861"
Love Story - Digital Dog Remix,"9,530,457"
betty - Live from the 2020 Academy of Country Music Awards,"9,501,656"
Christmas Tree Farm (Old Timey Version),"9,421,146"
epiphany - the long pond studio sessions,"9,233,664"
"Carolina - ""Where The Crawdads Sing"" - Video Edition","9,175,400"
Sparks Fly - Live/2011,"8,810,081"
willow - moonlit witch version,"8,118,696"
Bette Davis Eyes - Live/2011,"8,102,635"
Enchanted - Live/2011,"7,624,636"
Christmases When You Were Mine,"7,299,207"
Delicate - Sawyr And Ryan Tedder Mix,"7,143,788"
You Need To Calm Down - Live From Paris,"6,969,999"
The Story Of Us - Live,"6,880,315"
ME! - Live From Paris,"6,848,382"
Anti-Hero - Jayda G Remix,"6,822,985"
Mean - Live/2011,"6,813,873"
Mine - Live/2011,"6,803,604"
Christmas Must Be Something More,"6,637,074"
Ronan,"6,601,896"
I Want You Back - Live/2011,"6,575,533"
Dear John - Live/2011,"6,435,335"
Ours - Live/2011,"6,432,285"
Better Than Revenge - Live/2011,"6,383,716"
Long Live - Live/2011,"6,132,566"
White Christmas,"5,968,808"
I Know Places - Voice Memo,"5,938,795"
Speak Now - Live/2011,"5,916,832"
Last Kiss - Live/2011,"5,888,037"
Haunted - Live/2011,"5,783,788"
Our Song - International Mix,"5,622,755"
Silent Night,"5,591,778"
Blank Space - Voice Memo,"4,818,230"
* Big Star (with Taylor Swift) - Live,"4,781,337"
I Wish You Would - Voice Memo,"4,536,775"
Love Story - Pop Mix,"4,020,324"
"Macavity - From The Motion Picture Soundtrack ""Cats""","3,345,548"
Anti-Hero - Roosevelt Remix,"3,100,607"
Lavender Haze - Tensnake Remix,"2,968,070"
Love Story - Live From Clear Channel Stripped 2008,"2,121,324"
Lavender Haze - Jungle Remix,"2,079,161"
You're Not Sorry - CSI Remix,"2,045,674"
Christmas Tree Farm - Recorded Live at the 2019 iHeartRadio Jingle Ball,"1,958,436"
Beautiful Eyes - Live From Clear Channel Stripped 2008,"1,697,553"
Love Story - J Stax Radio Mix,"1,327,666"
Fearless - Live From Clear Channel Stripped 2008,"1,153,158"
Should've Said No - Live From Clear Channel Stripped 2008,"737,547"
Teardrops On My Guitar - Live From Clear Channel Stripped 2008,"733,870"
Picture To Burn - Live From Clear Channel Stripped 2008,"705,087"
Untouchable - Live From Clear Channel Stripped 2008,"704,205"
Blank Space - Karaoke Version,"602,045"
Don't Blame Me - Karaoke Version,"580,437"
...Ready For It? - Karaoke Version,"544,134"
Style - Karaoke Version,"542,975"
Look What You Made Me Do - Karaoke Version,"520,008"
Change - Live From Clear Channel Stripped 2008,"517,170"
Hey Stephen - Commentary,"486,864"
All Too Well - Commentary,"470,559"
Delicate - Karaoke Version,"453,087"
Shake It Off - Karaoke Version,"413,587"
I Did Something Bad - Karaoke Version,"375,476"
We Are Never Ever Getting Back Together - Commentary,"370,161"
I Knew You Were Trouble. - Commentary,"367,569"
Getaway Car - Karaoke Version,"365,808"
I Almost Do - Commentary,"364,293"
State Of Grace - Commentary,"358,939"
Breathe - Commentary,"357,172"
Stay Stay Stay - Commentary,"354,062"
Cruel Summer - LP Giobbi Remix - Extended Version,"351,240"
22 - Commentary,"347,750"
Treacherous - Commentary,"342,619"
Love Story - Instrumental with BGV,"335,599"
Wildest Dreams - Karaoke Version,"333,645"
Call It What You Want - Karaoke Version,"332,477"
Red - Commentary,"331,083"
Welcome To New York - Karaoke Version,"318,935"
You Belong With Me - Commentary,"315,046"
Out Of The Woods - Karaoke Version,"314,362"
Style - Commentary,"310,508"
End Game - Karaoke Version,"308,592"
The Last Time - Commentary,"293,948"
Love Story - Commentary,"293,888"
Gorgeous - Karaoke Version,"291,345"
White Horse - Commentary,"290,305"
Tell Me Why - Commentary,"286,014"
Out Of The Woods - Commentary,"285,705"
Dancing With Our Hands Tied - Karaoke Version,"284,670"
Starlight - Commentary,"283,012"
Holy Ground - Commentary,"281,169"
Begin Again - Commentary,"280,491"
Sad Beautiful Tragic - Commentary,"280,059"
Everything Has Changed - Commentary,"279,044"
New Year's Day - Karaoke Version,"275,433"
Blank Space - Commentary,"273,329"
Welcome to New York - Commentary,"272,754"
The Lucky One - Commentary,"269,777"
King Of My Heart - Karaoke Version,"267,797"
Shake It Off - Commentary,"267,086"
You Belong With Me - Instrumental with BGV,"264,822"
Fearless - Instrumental with BGV,"263,991"
Enchanted - Instrumental With Background Vocals,"262,747"
All You Had To Do Was Stay - Commentary,"259,613"
Bad Blood - Karaoke Version,"257,148"
This Is Why We Can't Have Nice Things - Karaoke Version,"255,591"
I Knew You Were Trouble. - Karaoke Version,"255,380"
Wildest Dreams - Commentary,"254,941"
Fifteen - Commentary,"254,081"
I Wish You Would - Commentary,"253,059"
Fearless - Commentary,"252,469"
You're Not Sorry - Commentary,"250,164"
Dress - Karaoke Version,"249,497"
How You Get The Girl - Commentary,"248,109"
Bad Blood - Commentary,"246,641"
All Too Well - Karaoke Version,"241,406"
The Way I Loved You - Commentary,"240,563"
Forever & Always - Commentary,"231,947"
This Love - Commentary,"230,608"
The Best Day - Commentary,"227,706"
Change - Commentary,"226,771"
I Know Places - Commentary,"226,433"
Clean - Commentary,"225,438"
All You Had To Do Was Stay - Karaoke Version,"224,598"
So It Goes... - Karaoke Version,"224,238"
Clean - Karaoke Version,"215,204"
Mine - Instrumental With Background Vocals,"199,066"
Red - Karaoke Version,"194,447"
This Love - Karaoke Version,"189,310"
Tim McGraw - Commentary,"183,927"
Back To December - Instrumental With Background Vocals,"183,815"
Teardrops On My Guitar - Radio Single Remix / Commentary,"182,417"
Long Live - Commentary,"180,252"
I Know Places - Karaoke Version,"178,463"
I Wish You Would - Karaoke Version,"177,378"
Fifteen - Instrumental with BGV,"176,919"
How You Get The Girl - Karaoke Version,"176,906"
We Are Never Ever Getting Back Together - Karaoke Version,"175,520"
Back To December - Commentary,"169,668"
Picture To Burn - Commentary,"168,239"
